film,date,daily,reported_cume
The Odyssey,2026-07-17,50977435,50977435
The Odyssey,2026-07-18,41735485,92712920
The Odyssey,2026-07-19,30789980,123502900
The Odyssey,2026-07-20,18677415,142180315
The Odyssey,2026-07-21,21498195,163678510
The Odyssey,2026-07-22,18067805,181746315
The Odyssey,2026-07-23,17625485,199371800
The Odyssey,2026-07-24,25676880,225048680
The Odyssey,2026-07-25,34567335,259616015
The Odyssey,2026-07-26,29778295,289394310
The Odyssey,2026-07-27,14717905,304112215
The Odyssey,2026-07-28,16441360,320553575
