batter_id,player,bats,slot,team_side,park,vs_sp,sp_throws,talent_hr_pa,matchup_rate,env_mult,rate_tonight,p_hr_tonight,fair_odds,bbe_sample,model_ver
660271,"Ohtani, Shohei",L,1,away,ATL,AJ Smith-Shawver,R,0.0536,0.0515,1.194,0.048,0.1766,+466,223,v1.2-g075
696100,"Goodman, Hunter",R,3,away,WSH,Matt Waldron,R,0.0532,0.0465,1.2,0.0435,0.1641,+509,188,v1.2-g075
699013,"Valdez, Esmerlyn",R,4,away,SD,Randy Vásquez,R,0.0435,0.0611,1.079,0.0515,0.1598,+526,71,v1.2-g075
664040,"Lowe, Brandon",L,2,away,SD,Randy Vásquez,R,0.0477,0.0552,1.068,0.046,0.1596,+527,238,v1.2-g075
665833,"Cruz, Oneil",L,5,away,SD,Randy Vásquez,R,0.0479,0.0555,1.068,0.0462,0.1527,+555,116,v1.2-g075
804668,"Flores Jr., Rafael",R,8,away,SD,Randy Vásquez,R,0.0429,0.0603,1.079,0.0508,0.1492,+570,20,v1.2-g075
571970,"Muncy, Max",L,4,away,ATL,AJ Smith-Shawver,R,0.0451,0.0433,1.194,0.0404,0.1483,+574,220,v1.2-g075
701538,"Merrill, Jackson",L,5,home,SD,Bubba Chandler,R,0.0501,0.0507,1.068,0.0422,0.1458,+586,270,v1.2-g075
666176,"Adell, Jo",R,4,away,LAA,Grayson Rodriguez,R,0.0337,0.0394,1.349,0.0415,0.1432,+598,257,v1.2-g075
701398,"Stewart, Sal",R,3,away,SF,Logan Webb,R,0.0467,0.0395,1.142,0.0352,0.1425,+602,295,v1.2-g075
666160,"Moniak, Mickey",L,6,away,WSH,Matt Waldron,R,0.0427,0.0445,1.188,0.0412,0.1419,+605,197,v1.2-g075
518692,"Freeman, Freddie",L,2,away,ATL,AJ Smith-Shawver,R,0.0398,0.0383,1.194,0.0357,0.1407,+611,275,v1.2-g075
663993,"Lowe, Nathaniel",L,5,away,LAA,Grayson Rodriguez,R,0.0368,0.0373,1.323,0.0385,0.1387,+621,207,v1.2-g075
656941,"Schwarber, Kyle",L,1,away,SEA,Bryan Woo,R,0.048,0.0461,0.92,0.0331,0.1354,+639,177,v1.2-g075
691718,"Crow-Armstrong, Pete",L,1,away,ARI,Eduardo Rodriguez,L,0.0291,0.0366,1.02,0.0291,0.1343,+645,109,v1.2-g075
677800,"Abreu, Wilyer",L,3,away,MIA,Ryan Gusto,R,0.0507,0.0486,0.9,0.0341,0.134,+646,266,v1.2-g075
668804,"Reynolds, Bryan",L,3,away,SD,Randy Vásquez,R,0.0379,0.044,1.068,0.0366,0.1335,+649,229,v1.2-g075
665052,"Conine, Griffin",L,2,home,MIA,Sonny Gray,R,0.0497,0.0485,0.9,0.0341,0.1333,+650,95,v1.2-g075
665487,"Tatis Jr., Fernando",R,1,home,SD,Bubba Chandler,R,0.0488,0.0329,1.079,0.0277,0.1327,+654,327,v1.2-g075
650489,"Castro, Willi",L,5,away,WSH,Matt Waldron,R,0.037,0.0385,1.188,0.0356,0.1303,+667,179,v1.2-g075
813841,"Cox, Jonah",R,1,home,SF,Nick Lodolo,L,0.0289,0.0391,1.142,0.0349,0.129,+675,18,v1.2-g075
683737,"Busch, Michael",L,4,away,ARI,Eduardo Rodriguez,L,0.0395,0.0495,1.02,0.0394,0.1282,+680,109,v1.2-g075
660821,"Sánchez, Jesús",L,5,home,TOR,Randy Dobnak,R,0.0465,0.0384,1.08,0.0324,0.1275,+684,168,v1.2-g075
547180,"Harper, Bryce",L,3,away,SEA,Bryan Woo,R,0.0462,0.0444,0.92,0.0319,0.1275,+684,231,v1.2-g075
671083,"Kennedy, Buddy",R,4,home,SF,Nick Lodolo,L,0.0311,0.0421,1.142,0.0375,0.1274,+685,13,v1.2-g075
682657,"Martínez, Angel",L,6,away,LAA,Grayson Rodriguez,R,0.0329,0.0333,1.323,0.0343,0.1255,+697,151,v1.2-g075
682998,"Carroll, Corbin",L,2,home,ARI,Matthew Boyd,L,0.0316,0.0319,1.02,0.0254,0.1242,+705,116,v1.2-g075
694197,"Genao, Angel",L,7,away,LAA,Grayson Rodriguez,R,0.0329,0.0333,1.323,0.0344,0.1232,+712,40,v1.2-g075
687462,"Horwitz, Spencer",L,1,away,SD,Randy Vásquez,R,0.0325,0.0377,1.068,0.0314,0.1231,+712,212,v1.2-g075
682829,"De La Cruz, Elly",L,2,away,SF,Logan Webb,R,0.0402,0.0361,1.02,0.0287,0.1231,+712,224,v1.2-g075
669065,"Stowers, Kyle",L,1,home,MIA,Sonny Gray,R,0.0434,0.0424,0.9,0.0298,0.123,+713,179,v1.2-g075
691406,"Caminero, Junior",R,3,away,DET,Troy Melton,R,0.0507,0.0422,0.854,0.0281,0.122,+720,294,v1.2-g075
668800,"Knizner, Andrew",R,6,home,SF,Nick Lodolo,L,0.0307,0.0414,1.142,0.0369,0.1212,+725,11,v1.2-g075
605141,"Betts, Mookie",R,3,away,ATL,AJ Smith-Shawver,R,0.0319,0.0314,1.205,0.0295,0.1199,+734,221,v1.2-g075
673548,"Suzuki, Seiya",R,2,away,ARI,Eduardo Rodriguez,L,0.0305,0.0352,1.01,0.0277,0.1194,+738,87,v1.2-g075
571448,"Arenado, Nolan",R,4,home,ARI,Matthew Boyd,L,0.0323,0.0465,1.01,0.0366,0.1191,+740,87,v1.2-g075
694374,"Tawa, Tim",R,5,home,ARI,Matthew Boyd,L,0.0281,0.0404,1.01,0.0318,0.1186,+743,43,v1.2-g075
678545,"Basabe, Osleivis",R,3,home,SF,Nick Lodolo,L,0.0207,0.0281,1.142,0.025,0.1184,+745,23,v1.2-g075
668709,"Bleday, JJ",L,4,away,SF,Logan Webb,R,0.0392,0.0353,1.02,0.028,0.1165,+758,208,v1.2-g075
666018,"Aranda, Jonathan",L,2,away,DET,Troy Melton,R,0.0411,0.0407,0.872,0.0277,0.1162,+761,267,v1.2-g075
621438,"Taylor, Tyrone",R,6,away,ARI,Eduardo Rodriguez,L,0.0317,0.0365,1.01,0.0288,0.116,+762,66,v1.2-g075
595978,"Hedges, Austin",R,8,away,LAA,Grayson Rodriguez,R,0.0273,0.032,1.349,0.0336,0.1152,+768,72,v1.2-g075
606192,"Hernández, Teoscar",R,8,away,ATL,AJ Smith-Shawver,R,0.0344,0.0338,1.205,0.0318,0.115,+770,168,v1.2-g075
694376,"Whitcomb, Shay",R,9,home,SF,Nick Lodolo,L,0.0302,0.0409,1.142,0.0364,0.1144,+774,3,v1.2-g075
672960,"Okamoto, Kazuma",R,6,home,TOR,Randy Dobnak,R,0.0401,0.0351,1.06,0.029,0.1136,+780,231,v1.2-g075
646240,"Devers, Rafael",L,2,home,SF,Nick Lodolo,L,0.0322,0.0288,1.02,0.0229,0.1133,+783,120,v1.2-g075
