batter,p_throws,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
457705,R,0,17,0,2,92.05999999999999,"McCutchen, Andrew",R,33,0.0,0.11764705882352941,0.5151515151515151,0.0010909090909090907,0.024482566061784717,0.221
467793,R,0,13,0,3,90.24285714285715,"Santana, Carlos",L,22,0.0,0.23076923076923078,0.5909090909090909,0.0024545454545454545,0.026007140042754236,0.178
500743,R,0,64,2,6,88.67916666666667,"Rojas, Miguel",R,76,0.03125,0.09375,0.8421052631578947,0.016552631578947367,0.023596617365037098,0.516
502054,R,0,0,0,0,,"Pham, Tommy",R,3,0.0,0.0,0.0,0.0,0.03111020220353281,0.0
502671,R,7,128,10,14,92.69682539682539,"Goldschmidt, Paul",R,188,0.078125,0.109375,0.6808510638297872,0.03192553191489361,0.03166532030488485,0.681
506702,R,0,14,0,3,91.53333333333335,"León, Sandy",L,24,0.0,0.21428571428571427,0.5833333333333334,0.00225,0.025650163948810385,0.189
514888,R,12,278,13,52,90.93170731707318,"Altuve, Jose",R,387,0.046762589928057555,0.18705035971223022,0.7183462532299741,0.021733850129198963,0.02339829132582627,0.822
516782,R,1,29,4,2,92.10714285714286,"Marte, Starling",R,42,0.13793103448275862,0.06896551724137931,0.6904761904761905,0.05561904761904762,0.03909623048499269,0.326
518595,R,0,21,3,1,92.8625,"d'Arnaud, Travis",R,33,0.14285714285714285,0.047619047619047616,0.6363636363636364,0.05281818181818181,0.03673819691844181,0.259
518692,R,11,286,26,41,94.14846625766872,"Freeman, Freddie",L,400,0.09090909090909091,0.14335664335664336,0.715,0.03922,0.037813676682693545,0.827
519317,R,2,45,8,8,98.25384615384615,"Stanton, Giancarlo",R,66,0.17777777777777778,0.17777777777777778,0.6818181818181818,0.07187878787878786,0.04858245320721354,0.429
521692,R,15,310,30,51,93.655625,"Perez, Salvador",R,419,0.0967741935483871,0.16451612903225807,0.7398568019093079,0.04336038186157518,0.04137386624135209,0.838
542303,R,4,104,7,18,92.72758620689655,"Ozuna, Marcell",R,178,0.0673076923076923,0.17307692307692307,0.5842696629213483,0.024432584269662917,0.02687561522107873,0.634
543309,R,4,83,7,15,91.64782608695653,"Higashioka, Kyle",R,132,0.08433734939759036,0.18072289156626506,0.6287878787878788,0.03253787878787878,0.03193885364759376,0.58
543510,R,5,63,7,8,93.84375,"McCann, James",R,93,0.1111111111111111,0.12698412698412698,0.6774193548387096,0.044827956989247304,0.03813636928889877,0.512
543760,R,11,261,17,54,90.2095588235294,"Semien, Marcus",R,362,0.06513409961685823,0.20689655172413793,0.7209944751381215,0.029687845303867397,0.029953706406608598,0.813
543807,R,11,227,17,29,92.98207547169811,"Springer, George",R,319,0.07488986784140969,0.1277533039647577,0.7115987460815048,0.03227899686520377,0.032034649549174996,0.791
543877,R,6,142,3,12,88.79230769230769,"Vázquez, Christian",R,196,0.02112676056338028,0.08450704225352113,0.7244897959183674,0.009903061224489796,0.016202212010344157,0.703
545121,R,3,252,4,49,90.19369369369369,"Vargas, Ildemaro",L,304,0.015873015873015872,0.19444444444444445,0.8289473684210527,0.010467105263157894,0.014436931597845377,0.808
545341,R,3,60,4,9,96.22692307692309,"Grichuk, Randal",R,79,0.06666666666666667,0.15,0.759493670886076,0.031164556962025317,0.03113737958277906,0.5
545361,R,15,226,36,34,94.49615384615385,"Trout, Mike",R,408,0.1592920353982301,0.1504424778761062,0.553921568627451,0.05223529411764705,0.04780345665314756,0.79
547180,R,23,250,32,31,95.23880597014926,"Harper, Bryce",L,388,0.128,0.124,0.6443298969072165,0.04886082474226804,0.04542522037993219,0.806
553869,R,1,83,2,9,92.47317073170731,"Díaz, Elias",R,120,0.024096385542168676,0.10843373493975904,0.6916666666666667,0.010933333333333333,0.019399152439710736,0.58
553993,R,17,186,20,38,92.68155339805826,"Suárez, Eugenio",R,336,0.10752688172043011,0.20430107526881722,0.5535714285714286,0.03626190476190476,0.03500539194278965,0.756
571448,R,16,273,16,56,88.44573643410853,"Arenado, Nolan",R,394,0.05860805860805861,0.20512820512820512,0.6928934010152284,0.025908629441624365,0.026845849759085348,0.82
571657,R,0,4,0,3,90.39999999999999,"Farmer, Kyle",R,5,0.0,0.75,0.8,0.010799999999999999,0.029840814565812005,0.062
571771,R,1,16,1,2,97.425,"Hernández, Enrique",R,26,0.0625,0.125,0.6153846153846154,0.0235,0.02950805437121011,0.211
571912,R,0,7,0,0,86.7,"Maile, Luke",R,12,0.0,0.0,0.5833333333333334,0.0,0.027859882570327888,0.104
571945,R,0,1,0,0,,"Mikolas, Miles",R,1,0.0,0.0,1.0,0.0,0.030600198888720793,0.016
571970,R,21,237,32,43,96.07462686567165,"Muncy, Max",L,384,0.1350210970464135,0.18143459915611815,0.6171875,0.049932291666666656,0.046129849350882046,0.798
572233,R,20,305,29,42,91.93509933774835,"Walker, Christian",R,445,0.09508196721311475,0.1377049180327869,0.6853932584269663,0.03917078651685393,0.03784575895849977,0.836
573262,R,9,217,16,41,93.59159663865546,"Yastrzemski, Mike",L,327,0.07373271889400922,0.1889400921658986,0.6636085626911316,0.0303914373088685,0.030547126455727193,0.783
575929,R,19,223,27,40,94.9146551724138,"Contreras, Willson",R,382,0.1210762331838565,0.17937219730941703,0.5837696335078534,0.04252617801047119,0.040105829782851744,0.788
592206,R,3,59,4,15,92.09210526315789,"Castellanos, Nick",R,88,0.06779661016949153,0.2542372881355932,0.6704545454545454,0.02920454545454545,0.030165380790169324,0.496
592450,R,12,109,23,11,99.72258064516129,"Judge, Aaron",R,191,0.21100917431192662,0.10091743119266056,0.5706806282722513,0.07027748691099477,0.056371942044440224,0.645
592518,R,21,301,29,43,94.94746835443038,"Machado, Manny",R,458,0.09634551495016612,0.14285714285714285,0.6572052401746725,0.03809825327510917,0.03693680434354523,0.834
592626,R,25,252,29,38,95.67404580152672,"Pederson, Joc",L,389,0.11507936507936507,0.15079365079365079,0.6478149100257069,0.04462467866323906,0.04202574088252632,0.808
592663,R,8,209,13,30,94.17029702970298,"Realmuto, J.T.",R,311,0.06220095693779904,0.14354066985645933,0.6720257234726688,0.0257717041800643,0.02696244723362605,0.777
592885,R,9,207,22,14,93.62921348314607,"Yelich, Christian",L,335,0.10628019323671498,0.06763285024154589,0.6179104477611941,0.0385134328358209,0.03684978550272245,0.775
593428,R,10,269,19,40,94.03445378151261,"Bogaerts, Xander",R,404,0.07063197026022305,0.14869888475836432,0.6658415841584159,0.028824257425742572,0.02924114705087149,0.818
593871,R,2,78,2,21,92.89999999999999,"Polanco, Jorge",L,113,0.02564102564102564,0.2692307692307692,0.6902654867256637,0.013522123893805306,0.021169114463252047,0.565
595879,R,1,94,1,15,87.6972972972973,"Báez, Javier",R,125,0.010638297872340425,0.1595744680851064,0.752,0.0067599999999999995,0.016247091767610185,0.61
595978,R,3,76,4,13,88.88571428571429,"Hedges, Austin",R,115,0.05263157894736842,0.17105263157894737,0.6608695652173913,0.022034782608695652,0.02603864419465322,0.559
596019,R,13,184,19,41,95.01743119266055,"Lindor, Francisco",L,273,0.10326086956521739,0.22282608695652173,0.673992673992674,0.04272161172161172,0.03986634708601855,0.754
596103,R,0,6,0,0,,"Slater, Austin",R,9,0.0,0.0,0.6666666666666666,0.0,0.028282002003211643,0.091
596115,R,3,106,5,15,92.7304347826087,"Story, Trevor",R,162,0.04716981132075472,0.14150943396226415,0.654320987654321,0.019413580246913583,0.023641274930028967,0.639
596117,R,0,39,0,5,86.75882352941177,"Stubbs, Garrett",L,51,0.0,0.1282051282051282,0.7647058823529411,0.0017647058823529408,0.019549855167916498,0.394
596142,R,6,80,7,12,94.61351351351351,"Sánchez, Gary",R,140,0.0875,0.15,0.5714285714285714,0.03029285714285714,0.03064314788314671,0.571
596146,R,2,93,7,21,91.774,"Kepler, Max",L,133,0.07526881720430108,0.22580645161290322,0.6992481203007519,0.033105263157894735,0.032322886313046924,0.608
600869,R,0,8,0,2,93.36,"Candelario, Jeimer",L,13,0.0,0.25,0.6153846153846154,0.002769230769230769,0.027775970270085507,0.118
602104,R,0,41,1,6,90.94444444444444,"Urías, Ramón",R,58,0.024390243902439025,0.14634146341463414,0.7068965517241379,0.011775862068965515,0.023261608683559948,0.406
605137,R,14,271,30,44,95.53863636363637,"Bell, Josh",L,393,0.11070110701107011,0.16236162361623616,0.6895674300254453,0.045908396946564886,0.043225944727284145,0.819
605141,R,14,246,17,50,92.60738255033557,"Betts, Mookie",R,311,0.06910569105691057,0.2032520325203252,0.7909967845659164,0.03432475884244373,0.03369445361912786,0.804
605170,R,5,171,9,20,93.0475,"Caratini, Victor",L,235,0.05263157894736842,0.11695906432748537,0.7276595744680852,0.0235531914893617,0.02551605141512043,0.74
605244,R,0,10,0,3,89.01428571428572,"Garcia, Aramis",R,16,0.0,0.3,0.625,0.0033749999999999995,0.02714803046017098,0.143
605353,R,0,1,0,1,101.6,"Machín, Vimael",L,2,0.0,1.0,0.5,0.009,0.030747739872327352,0.016
606115,R,0,25,0,2,90.86666666666666,"Arcia, Orlando",R,30,0.0,0.08,0.8333333333333334,0.0012,0.022313083908376097,0.294
606192,R,7,187,17,19,93.92134831460675,"Hernández, Teoscar",R,298,0.09090909090909091,0.10160427807486631,0.62751677852349,0.0339496644295302,0.03325991652038104,0.757
606466,R,13,305,27,51,91.52402597402597,"Marte, Ketel",L,411,0.08852459016393442,0.16721311475409836,0.7420924574209246,0.04000729927007299,0.03854476276598419,0.836
606992,R,4,35,6,3,94.74,"Haase, Eric",R,56,0.17142857142857143,0.08571428571428572,0.625,0.06257142857142856,0.042701180339073344,0.368
607043,R,9,279,33,40,96.48917197452229,"Nimmo, Brandon",L,416,0.11827956989247312,0.14336917562724014,0.6706730769230769,0.04734375,0.044470555699740316,0.823
607208,R,16,301,19,35,91.38639455782312,"Turner, Trea",R,425,0.06312292358803986,0.11627906976744186,0.7082352941176471,0.027188235294117645,0.02784008574997612,0.834
608070,R,6,255,9,73,90.93055555555556,"Ramírez, José",L,349,0.03529411764705882,0.28627450980392155,0.7306590257879656,0.01859312320916905,0.020977328731905002,0.81
608324,R,17,362,20,69,91.70280898876405,"Bregman, Alex",R,494,0.055248618784530384,0.19060773480662985,0.7327935222672065,0.02579352226720648,0.026549448324504062,0.858
608348,R,4,188,6,31,89.98588235294118,"Kelly, Carson",R,256,0.031914893617021274,0.16489361702127658,0.734375,0.015656249999999997,0.019395109404080516,0.758
608369,R,12,159,25,22,95.95714285714286,"Seager, Corey",L,249,0.15723270440251572,0.13836477987421383,0.6385542168674698,0.059321285140562244,0.05159222132219802,0.726
608701,R,0,14,0,5,91.39,"Refsnyder, Rob",R,21,0.0,0.35714285714285715,0.6666666666666666,0.004285714285714285,0.02603529908394552,0.189
608841,R,0,5,0,0,91.4,"Meneses, Joey",R,9,0.0,0.0,0.5555555555555556,0.0,0.02871710972633798,0.077
609280,R,4,137,6,21,93.7578947368421,"Andujar, Miguel",R,173,0.043795620437956206,0.15328467153284672,0.791907514450867,0.022127167630057804,0.02486311724634461,0.695
620443,R,4,128,7,8,92.75471698113208,"Torrens, Luis",R,178,0.0546875,0.0625,0.7191011235955056,0.023421348314606738,0.025875237853625697,0.681
621020,R,12,217,17,40,94.05,"Swanson, Dansby",R,327,0.07834101382488479,0.18433179723502305,0.6636085626911316,0.03209480122324159,0.0318815306774563,0.783
621043,R,0,63,5,11,94.06451612903226,"Correa, Carlos",R,93,0.07936507936507936,0.1746031746031746,0.6774193548387096,0.03304301075268816,0.032100177314075794,0.512
621438,R,5,88,9,19,90.20681818181818,"Taylor, Tyrone",R,118,0.10227272727272728,0.2159090909090909,0.7457627118644068,0.04675423728813559,0.040412060902485815,0.595
621439,R,21,196,28,31,94.85238095238095,"Buxton, Byron",R,293,0.14285714285714285,0.15816326530612246,0.6689419795221843,0.0568532423208191,0.050819717293330124,0.766
