pitcher,stand,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
434378,R,0,6,0,4,97.44,"Lawlar, Jordan",R,6,0.0,0.6666666666666666,1.0,0.011999999999999999,0.02997060837328207,0.032
445276,R,2,41,1,8,89.78750000000001,"Castellanos, Nick",R,60,0.024390243902439025,0.1951219512195122,0.6833333333333333,0.011983333333333332,0.027121492416729103,0.186
453286,R,3,33,3,5,95.61999999999999,"Tovar, Ezequiel",R,48,0.09090909090909091,0.15151515151515152,0.6875,0.0378125,0.031691763649908285,0.155
455119,R,3,37,5,6,96.068,"Realmuto, J.T.",R,43,0.13513513513513514,0.16216216216216217,0.8604651162790697,0.06937209302325581,0.03718571704742364,0.171
471911,R,2,22,4,3,93.36363636363636,"Young, Jacob",R,28,0.18181818181818182,0.13636363636363635,0.7857142857142857,0.08407142857142857,0.03639655735644502,0.109
472610,R,0,26,1,8,92.66470588235293,"Davis, Henry",R,31,0.038461538461538464,0.3076923076923077,0.8387096774193549,0.023193548387096776,0.02963866706550962,0.126
476594,R,0,6,0,3,80.6,"Ruiz, Esteury",R,6,0.0,0.5,1.0,0.009,0.02987383417973368,0.032
489446,R,0,38,2,6,96.9470588235294,"Okamoto, Kazuma",R,66,0.05263157894736842,0.15789473684210525,0.5757575757575758,0.019060606060606063,0.028563468751071075,0.174
500743,R,1,10,1,1,97.35,"Schneider, Davis",R,11,0.1,0.1,0.9090909090909091,0.053909090909090907,0.03179802140274408,0.053
500779,R,3,117,8,26,89.38730158730158,"Slater, Austin",R,142,0.06837606837606838,0.2222222222222222,0.823943661971831,0.03569014084507042,0.032586800122234694,0.394
518585,R,2,51,4,9,91.73846153846154,"Chapman, Matt",R,97,0.0784313725490196,0.17647058823529413,0.5257731958762887,0.02538144329896907,0.029424185132804707,0.221
518876,R,8,148,18,20,95.08219178082192,"Alonso, Pete",R,202,0.12162162162162163,0.13513513513513514,0.7326732673267327,0.05301980198019802,0.04069958491006028,0.451
518886,R,1,44,1,6,91.416,"Muncy, Max",R,70,0.022727272727272728,0.13636363636363635,0.6285714285714286,0.009757142857142857,0.026481461799753355,0.196
519141,R,4,57,6,8,93.3741935483871,"Correa, Carlos",R,76,0.10526315789473684,0.14035087719298245,0.75,0.04728947368421052,0.03459085720434795,0.241
519242,R,7,222,12,36,91.11138211382115,"Perez, Salvador",R,358,0.05405405405405406,0.16216216216216217,0.6201117318435754,0.02108379888268156,0.025331185346730775,0.552
527048,R,7,201,11,40,93.33711340206186,"Clarke, Denzel",R,282,0.05472636815920398,0.19900497512437812,0.7127659574468085,0.0249822695035461,0.027621966739221078,0.528
542888,R,2,46,2,5,91.46470588235294,"Arozarena, Randy",R,73,0.043478260869565216,0.10869565217391304,0.6301369863013698,0.01698630136986301,0.027804880621434352,0.204
543037,R,2,75,9,10,94.99249999999999,"Díaz, Yandy",R,107,0.12,0.13333333333333333,0.7009345794392523,0.050046728971962606,0.03629818756991239,0.294
543056,R,1,36,1,7,89.88947368421053,"De La Cruz, Elly",R,49,0.027777777777777776,0.19444444444444445,0.7346938775510204,0.01430612244897959,0.02785904428515616,0.167
