season,week,game,spread_home,home_lgt,away_lgt,home_stdc,away_stdc,home_move,away_move,total,pick,gameday,status
2026,2,DET @ BUF,-4.5,0,0,-1,1,0,0,-2,PASS,2026-09-17,PREVIEW
2026,2,CAR @ ATL,2.5,0,0,1,1,1,0,1,PASS,2026-09-20,PREVIEW
2026,2,NO @ BAL,-8.5,0,0,-1,-1,0,0,0,PASS,2026-09-20,PREVIEW
2026,2,MIN @ CHI,-5.5,0,0,-1,-1,0,0,0,PASS,2026-09-20,PREVIEW
2026,2,CIN @ HOU,-2.5,0,0,1,-1,1,0,3,HOU,2026-09-20,PREVIEW
2026,2,PIT @ NE,-5.5,0,0,0,-1,0,0,1,PASS,2026-09-20,PREVIEW
2026,2,GB @ NYJ,4.5,0,0,-1,1,0,0,-2,PASS,2026-09-20,PREVIEW
2026,2,CLE @ TB,-8.5,0,0,1,1,0,0,0,PASS,2026-09-20,PREVIEW
2026,2,PHI @ TEN,7.0,0,0,1,1,0,0,0,PASS,2026-09-20,PREVIEW
2026,2,JAX @ DEN,-2.5,0,0,1,-1,0,0,2,PASS,2026-09-20,PREVIEW
2026,2,LV @ LAC,-7.0,0,0,1,-1,0,0,2,PASS,2026-09-20,PREVIEW
2026,2,SEA @ ARI,4.5,0,0,-1,0,0,0,-1,PASS,2026-09-20,PREVIEW
2026,2,WAS @ DAL,-3.5,0,0,1,-1,0,0,2,PASS,2026-09-20,PREVIEW
2026,2,MIA @ SF,-12.5,0,0,-1,1,1,0,-1,PASS,2026-09-20,PREVIEW
2026,2,IND @ KC,-6.5,0,0,-1,1,0,0,-2,PASS,2026-09-20,PREVIEW
2026,2,NYG @ LA,-7.0,0,0,1,-1,0,0,2,PASS,2026-09-21,PREVIEW
